NAME	original_cell_subset	CellType	Patient_ID	filename	dataset	nUMIs	Sample_ID	Gender	Age	barcodes	Count
TYPE	group	group	group	group	group	numeric	group	group	group	group	numeric
HP1504101T2D_K20	Pancreatic Stellate	Stromal (Fibroblast)	2	pancreas	Pancreas_Healthy_Sandberg_2016	833315	HP1504101T2D	NA	NA	HP1504101T2D_K20	1
HP1504101T2D_K21	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	936380	HP1504101T2D	NA	NA	HP1504101T2D_K21	1
HP1504101T2D_K22	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1428888	HP1504101T2D	NA	NA	HP1504101T2D_K22	1
HP1504101T2D_K23	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	4263	HP1504101T2D	NA	NA	HP1504101T2D_K23	1
HP1504101T2D_K24	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	904030	HP1504101T2D	NA	NA	HP1504101T2D_K24	1
HP1504101T2D_K3	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	242830	HP1504101T2D	NA	NA	HP1504101T2D_K3	1
HP1504101T2D_K5	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	821830	HP1504101T2D	NA	NA	HP1504101T2D_K5	1
HP1504101T2D_K6	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	996599	HP1504101T2D	NA	NA	HP1504101T2D_K6	1
HP1504101T2D_K7	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1025686	HP1504101T2D	NA	NA	HP1504101T2D_K7	1
HP1504101T2D_K8	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1100302	HP1504101T2D	NA	NA	HP1504101T2D_K8	1
HP1504101T2D_K9	Ductal	Epithelial (Ductal)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1198500	HP1504101T2D	NA	NA	HP1504101T2D_K9	1
HP1504101T2D_L1	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	842914	HP1504101T2D	NA	NA	HP1504101T2D_L1	1
HP1504101T2D_L10	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1317026	HP1504101T2D	NA	NA	HP1504101T2D_L10	1
HP1504101T2D_L11	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	591001	HP1504101T2D	NA	NA	HP1504101T2D_L11	1
HP1504101T2D_L12	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	301216	HP1504101T2D	NA	NA	HP1504101T2D_L12	1
HP1504101T2D_L14	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	603467	HP1504101T2D	NA	NA	HP1504101T2D_L14	1
HP1504101T2D_L16	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	731282	HP1504101T2D	NA	NA	HP1504101T2D_L16	1
HP1504101T2D_L17	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1282243	HP1504101T2D	NA	NA	HP1504101T2D_L17	1
HP1504101T2D_L18	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1248895	HP1504101T2D	NA	NA	HP1504101T2D_L18	1
HP1504101T2D_L19	Acinar	Acinar	2	pancreas	Pancreas_Healthy_Sandberg_2016	1535899	HP1504101T2D	NA	NA	HP1504101T2D_L19	1
HP1504101T2D_L20	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	616427	HP1504101T2D	NA	NA	HP1504101T2D_L20	1
